"STATISTIC","Statistic Label","TLIST(A1)","Year","C01409V03262","Type of Material","UNIT","VALUE"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","681","Bituminous macadam and asphalt","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","682","Bituminous emulsions","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","691","Electrical fittings","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","69162","Lighting equipment","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","69163","Protection and communication equipment","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","70","All other materials","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","700","Plumbing materials including sanitary ware","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","701","HVAC (heating and ventilation equipment)","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","702","Insulating materials","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","703","Pipes and fittings","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","70371","PVC pipes and fittings","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","70372","Copper pipes and fittings","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","704","Plaster","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","705","Paints, oils and varnishes","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","706","Glass","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","708","All other metal fittings","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2015","2015","709","All other products","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","-","Materials","Base 2015=100","100.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","601","Stone, sand and gravel","Base 2015=100","103.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","60161","Sand and gravel","Base 2015=100","109.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","60162","Stone","Base 2015=100","102.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","611","Cement","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","621","Ready mixed mortar and concrete","Base 2015=100","100.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","631","Concrete blocks and bricks","Base 2015=100","100.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","64","Other concrete products including precast","Base 2015=100","100.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","64261","Other concrete products (excluding precast concrete)","Base 2015=100","99.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","64262","Precast concrete","Base 2015=100","101.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","65","Structural steel and reinforcing metal","Base 2015=100","102.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","651","Structural steel","Base 2015=100","106.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","65161","Other structural steel","Base 2015=100","99.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","65162","Structural steel fabricated metal","Base 2015=100","106.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","652","Reinforcing metal","Base 2015=100","97.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","653","Other steel products","Base 2015=100","98.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","661","Rough timber (including plain sawn)","Base 2015=100","100.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","66161","Rough timber (softwood)","Base 2015=100","100.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","66162","Rough timber (hardwood)","Base 2015=100","99.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","671","Machined, treated engineered timber","Base 2015=100","97.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","67161","Other treated timber","Base 2015=100","95.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","67162","Wooden windows and doors","Base 2015=100","100.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","101"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","681","Bituminous macadam and asphalt","Base 2015=100","101.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","682","Bituminous emulsions","Base 2015=100","92.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","691","Electrical fittings","Base 2015=100","101.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","69162","Lighting equipment","Base 2015=100","106.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","69163","Protection and communication equipment","Base 2015=100","100.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","70","All other materials","Base 2015=100","99.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","701","HVAC (heating and ventilation equipment)","Base 2015=100","100.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","702","Insulating materials","Base 2015=100","101"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","703","Pipes and fittings","Base 2015=100","97.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","70371","PVC pipes and fittings","Base 2015=100","102.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","70372","Copper pipes and fittings","Base 2015=100","95.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","704","Plaster","Base 2015=100","102.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","705","Paints, oils and varnishes","Base 2015=100","101.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","706","Glass","Base 2015=100","96.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","708","All other metal fittings","Base 2015=100","104.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2016","2016","709","All other products","Base 2015=100","100.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","-","Materials","Base 2015=100","103.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","601","Stone, sand and gravel","Base 2015=100","108.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","60161","Sand and gravel","Base 2015=100","121.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","60162","Stone","Base 2015=100","106.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","611","Cement","Base 2015=100","103.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","621","Ready mixed mortar and concrete","Base 2015=100","101"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","631","Concrete blocks and bricks","Base 2015=100","101.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","64","Other concrete products including precast","Base 2015=100","100.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","64261","Other concrete products (excluding precast concrete)","Base 2015=100","98.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","64262","Precast concrete","Base 2015=100","106.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","65","Structural steel and reinforcing metal","Base 2015=100","108.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","651","Structural steel","Base 2015=100","113.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","65161","Other structural steel","Base 2015=100","101.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","65162","Structural steel fabricated metal","Base 2015=100","115.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","652","Reinforcing metal","Base 2015=100","101.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","653","Other steel products","Base 2015=100","98.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","661","Rough timber (including plain sawn)","Base 2015=100","102.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","66161","Rough timber (softwood)","Base 2015=100","103"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","66162","Rough timber (hardwood)","Base 2015=100","99.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","671","Machined, treated engineered timber","Base 2015=100","98.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","67161","Other treated timber","Base 2015=100","95.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","67162","Wooden windows and doors","Base 2015=100","101.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","99.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","681","Bituminous macadam and asphalt","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","682","Bituminous emulsions","Base 2015=100","96.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","691","Electrical fittings","Base 2015=100","102.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","69162","Lighting equipment","Base 2015=100","107.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","69163","Protection and communication equipment","Base 2015=100","100.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","70","All other materials","Base 2015=100","103.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","700","Plumbing materials including sanitary ware","Base 2015=100","100.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","701","HVAC (heating and ventilation equipment)","Base 2015=100","101.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","702","Insulating materials","Base 2015=100","101.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","703","Pipes and fittings","Base 2015=100","101.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","70371","PVC pipes and fittings","Base 2015=100","104.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","70372","Copper pipes and fittings","Base 2015=100","100.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","704","Plaster","Base 2015=100","107.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","705","Paints, oils and varnishes","Base 2015=100","101.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","706","Glass","Base 2015=100","111.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","708","All other metal fittings","Base 2015=100","104.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2017","2017","709","All other products","Base 2015=100","104.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","-","Materials","Base 2015=100","104.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","601","Stone, sand and gravel","Base 2015=100","105.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","60161","Sand and gravel","Base 2015=100","114.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","60162","Stone","Base 2015=100","103.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","611","Cement","Base 2015=100","108.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","621","Ready mixed mortar and concrete","Base 2015=100","100.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","631","Concrete blocks and bricks","Base 2015=100","101"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","64","Other concrete products including precast","Base 2015=100","101.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","64261","Other concrete products (excluding precast concrete)","Base 2015=100","99.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","64262","Precast concrete","Base 2015=100","109.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","65","Structural steel and reinforcing metal","Base 2015=100","111.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","651","Structural steel","Base 2015=100","116.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","65161","Other structural steel","Base 2015=100","105"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","65162","Structural steel fabricated metal","Base 2015=100","118.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","652","Reinforcing metal","Base 2015=100","103.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","653","Other steel products","Base 2015=100","101.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","661","Rough timber (including plain sawn)","Base 2015=100","105.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","66161","Rough timber (softwood)","Base 2015=100","106"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","66162","Rough timber (hardwood)","Base 2015=100","101.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","671","Machined, treated engineered timber","Base 2015=100","101.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","67161","Other treated timber","Base 2015=100","98.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","67162","Wooden windows and doors","Base 2015=100","103.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","99.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","681","Bituminous macadam and asphalt","Base 2015=100","99.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","682","Bituminous emulsions","Base 2015=100","103.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","691","Electrical fittings","Base 2015=100","103.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","69162","Lighting equipment","Base 2015=100","107.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","69163","Protection and communication equipment","Base 2015=100","101.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","70","All other materials","Base 2015=100","104.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","700","Plumbing materials including sanitary ware","Base 2015=100","103.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","701","HVAC (heating and ventilation equipment)","Base 2015=100","102.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","702","Insulating materials","Base 2015=100","101.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","703","Pipes and fittings","Base 2015=100","104.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","70371","PVC pipes and fittings","Base 2015=100","108.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","70372","Copper pipes and fittings","Base 2015=100","103.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","704","Plaster","Base 2015=100","112"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","705","Paints, oils and varnishes","Base 2015=100","109.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","706","Glass","Base 2015=100","105.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","708","All other metal fittings","Base 2015=100","106"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2018","2018","709","All other products","Base 2015=100","104.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","-","Materials","Base 2015=100","105.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","601","Stone, sand and gravel","Base 2015=100","106.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","60161","Sand and gravel","Base 2015=100","119.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","60162","Stone","Base 2015=100","104"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","611","Cement","Base 2015=100","114.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","621","Ready mixed mortar and concrete","Base 2015=100","105"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","631","Concrete blocks and bricks","Base 2015=100","102.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","64","Other concrete products including precast","Base 2015=100","102.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","64261","Other concrete products (excluding precast concrete)","Base 2015=100","99.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","64262","Precast concrete","Base 2015=100","111.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","65","Structural steel and reinforcing metal","Base 2015=100","114.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","651","Structural steel","Base 2015=100","121"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","65161","Other structural steel","Base 2015=100","103.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","65162","Structural steel fabricated metal","Base 2015=100","123.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","652","Reinforcing metal","Base 2015=100","105.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","653","Other steel products","Base 2015=100","103.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","661","Rough timber (including plain sawn)","Base 2015=100","109.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","66161","Rough timber (softwood)","Base 2015=100","109.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","66162","Rough timber (hardwood)","Base 2015=100","107.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","671","Machined, treated engineered timber","Base 2015=100","104.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","67161","Other treated timber","Base 2015=100","102.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","67162","Wooden windows and doors","Base 2015=100","106.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","100"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","681","Bituminous macadam and asphalt","Base 2015=100","99.8"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","682","Bituminous emulsions","Base 2015=100","104.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","691","Electrical fittings","Base 2015=100","104.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","69162","Lighting equipment","Base 2015=100","107.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","69163","Protection and communication equipment","Base 2015=100","102.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","70","All other materials","Base 2015=100","104.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","700","Plumbing materials including sanitary ware","Base 2015=100","104.7"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","701","HVAC (heating and ventilation equipment)","Base 2015=100","104.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","702","Insulating materials","Base 2015=100","101.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","703","Pipes and fittings","Base 2015=100","105.5"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","70371","PVC pipes and fittings","Base 2015=100","111.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","70372","Copper pipes and fittings","Base 2015=100","103.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","704","Plaster","Base 2015=100","113.4"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","705","Paints, oils and varnishes","Base 2015=100","116.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","706","Glass","Base 2015=100","93.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","708","All other metal fittings","Base 2015=100","109.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2019","2019","709","All other products","Base 2015=100","103.9"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","-","Materials","Base 2015=100","106.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","601","Stone, sand and gravel","Base 2015=100","105.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","60161","Sand and gravel","Base 2015=100","114.6"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","60162","Stone","Base 2015=100","103.1"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","611","Cement","Base 2015=100","120.3"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","621","Ready mixed mortar and concrete","Base 2015=100","107"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","631","Concrete blocks and bricks","Base 2015=100","104.2"
"WPA15C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","2020","2020","64","Other concrete products including precast","Base 2015=100","105"
