"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","1998Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","43.6"
"Persons aged 15-89 years in Employment","1998Q1","Male","Education (P)","Thousand","32.7"
"Persons aged 15-89 years in Employment","1998Q1","Male","Human health and social work activities (Q)","Thousand","28.7"
"Persons aged 15-89 years in Employment","1998Q1","Male","Industry (B to E)","Thousand","219.3"
"Persons aged 15-89 years in Employment","1998Q1","Male","Industry and Construction (B to F)","Thousand","320"
"Persons aged 15-89 years in Employment","1998Q1","Male","Services (G to U)","Thousand","492.6"
"Persons aged 15-89 years in Employment","1998Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","27.9"
"Persons aged 15-89 years in Employment","1998Q1","Male","Other NACE activities (R to U)","Thousand","35.8"
"Persons aged 15-89 years in Employment","1998Q1","Male","Not stated","Thousand","4.7"
"Persons aged 15-89 years in Employment","1998Q1","Female","All NACE economic sectors","Thousand","615.4"
"Persons aged 15-89 years in Employment","1998Q1","Female","Agriculture, forestry and fishing (A)","Thousand","18.1"
"Persons aged 15-89 years in Employment","1998Q1","Female","Construction (F)","Thousand","3"
"Persons aged 15-89 years in Employment","1998Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","101.1"
"Persons aged 15-89 years in Employment","1998Q1","Female","Transportation and storage (H)","Thousand","12.7"
"Persons aged 15-89 years in Employment","1998Q1","Female","Accommodation and food service activities (I)","Thousand","53.9"
"Persons aged 15-89 years in Employment","1998Q1","Female","Information and communication (J)","Thousand","22.4"
"Persons aged 15-89 years in Employment","1998Q1","Female","Professional, scientific and technical activities (M)","Thousand","27.2"
"Persons aged 15-89 years in Employment","1998Q1","Female","Administrative and support service activities (N)","Thousand","24.6"
"Persons aged 15-89 years in Employment","1998Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","24.1"
"Persons aged 15-89 years in Employment","1998Q1","Female","Education (P)","Thousand","61.2"
"Persons aged 15-89 years in Employment","1998Q1","Female","Human health and social work activities (Q)","Thousand","93"
"Persons aged 15-89 years in Employment","1998Q1","Female","Industry (B to E)","Thousand","93.9"
"Persons aged 15-89 years in Employment","1998Q1","Female","Industry and Construction (B to F)","Thousand","96.9"
"Persons aged 15-89 years in Employment","1998Q1","Female","Services (G to U)","Thousand","497.2"
"Persons aged 15-89 years in Employment","1998Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","34.7"
"Persons aged 15-89 years in Employment","1998Q1","Female","Other NACE activities (R to U)","Thousand","42.3"
"Persons aged 15-89 years in Employment","1998Q1","Female","Not stated","Thousand","3.2"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","All NACE economic sectors","Thousand","1572"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","135.2"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Construction (F)","Thousand","105"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","222.1"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Transportation and storage (H)","Thousand","65.9"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Accommodation and food service activities (I)","Thousand","104.2"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Information and communication (J)","Thousand","63.3"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","73"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Administrative and support service activities (N)","Thousand","50.6"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","66.9"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Education (P)","Thousand","93.6"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Human health and social work activities (Q)","Thousand","122.7"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Industry (B to E)","Thousand","319.1"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Industry and Construction (B to F)","Thousand","424.1"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Services (G to U)","Thousand","1004.3"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","63.6"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Other NACE activities (R to U)","Thousand","78.2"
"Persons aged 15-89 years in Employment","1998Q2","Both sexes","Not stated","Thousand","8.4"
"Persons aged 15-89 years in Employment","1998Q2","Male","All NACE economic sectors","Thousand","948.2"
"Persons aged 15-89 years in Employment","1998Q2","Male","Agriculture, forestry and fishing (A)","Thousand","117.3"
"Persons aged 15-89 years in Employment","1998Q2","Male","Construction (F)","Thousand","101.8"
"Persons aged 15-89 years in Employment","1998Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","119.3"
"Persons aged 15-89 years in Employment","1998Q2","Male","Transportation and storage (H)","Thousand","53"
"Persons aged 15-89 years in Employment","1998Q2","Male","Accommodation and food service activities (I)","Thousand","46.9"
"Persons aged 15-89 years in Employment","1998Q2","Male","Information and communication (J)","Thousand","40.4"
"Persons aged 15-89 years in Employment","1998Q2","Male","Professional, scientific and technical activities (M)","Thousand","45.8"
"Persons aged 15-89 years in Employment","1998Q2","Male","Administrative and support service activities (N)","Thousand","24.7"
"Persons aged 15-89 years in Employment","1998Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","43.1"
"Persons aged 15-89 years in Employment","1998Q2","Male","Education (P)","Thousand","32.8"
"Persons aged 15-89 years in Employment","1998Q2","Male","Human health and social work activities (Q)","Thousand","30.4"
"Persons aged 15-89 years in Employment","1998Q2","Male","Industry (B to E)","Thousand","222.7"
"Persons aged 15-89 years in Employment","1998Q2","Male","Industry and Construction (B to F)","Thousand","324.5"
"Persons aged 15-89 years in Employment","1998Q2","Male","Services (G to U)","Thousand","501.6"
"Persons aged 15-89 years in Employment","1998Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","28.3"
"Persons aged 15-89 years in Employment","1998Q2","Male","Other NACE activities (R to U)","Thousand","36.9"
"Persons aged 15-89 years in Employment","1998Q2","Male","Not stated","Thousand","4.8"
"Persons aged 15-89 years in Employment","1998Q2","Female","All NACE economic sectors","Thousand","623.8"
"Persons aged 15-89 years in Employment","1998Q2","Female","Agriculture, forestry and fishing (A)","Thousand","17.9"
"Persons aged 15-89 years in Employment","1998Q2","Female","Construction (F)","Thousand","3.2"
"Persons aged 15-89 years in Employment","1998Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","102.7"
"Persons aged 15-89 years in Employment","1998Q2","Female","Transportation and storage (H)","Thousand","12.9"
"Persons aged 15-89 years in Employment","1998Q2","Female","Accommodation and food service activities (I)","Thousand","57.3"
"Persons aged 15-89 years in Employment","1998Q2","Female","Information and communication (J)","Thousand","22.9"
"Persons aged 15-89 years in Employment","1998Q2","Female","Professional, scientific and technical activities (M)","Thousand","27.2"
"Persons aged 15-89 years in Employment","1998Q2","Female","Administrative and support service activities (N)","Thousand","25.9"
"Persons aged 15-89 years in Employment","1998Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","23.8"
"Persons aged 15-89 years in Employment","1998Q2","Female","Education (P)","Thousand","60.8"
"Persons aged 15-89 years in Employment","1998Q2","Female","Human health and social work activities (Q)","Thousand","92.4"
"Persons aged 15-89 years in Employment","1998Q2","Female","Industry (B to E)","Thousand","96.4"
"Persons aged 15-89 years in Employment","1998Q2","Female","Industry and Construction (B to F)","Thousand","99.6"
"Persons aged 15-89 years in Employment","1998Q2","Female","Services (G to U)","Thousand","502.7"
"Persons aged 15-89 years in Employment","1998Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","35.3"
"Persons aged 15-89 years in Employment","1998Q2","Female","Other NACE activities (R to U)","Thousand","41.3"
"Persons aged 15-89 years in Employment","1998Q2","Female","Not stated","Thousand","3.5"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","All NACE economic sectors","Thousand","1636.3"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","137.4"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Construction (F)","Thousand","112"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","233.6"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Transportation and storage (H)","Thousand","68.3"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Accommodation and food service activities (I)","Thousand","113.4"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Information and communication (J)","Thousand","68"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","74.8"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Administrative and support service activities (N)","Thousand","52.7"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","67.7"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Education (P)","Thousand","91.7"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Human health and social work activities (Q)","Thousand","127"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Industry (B to E)","Thousand","329.3"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Industry and Construction (B to F)","Thousand","441.3"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Services (G to U)","Thousand","1048.4"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","67.6"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Other NACE activities (R to U)","Thousand","83.7"
"Persons aged 15-89 years in Employment","1998Q3","Both sexes","Not stated","Thousand","9.1"
"Persons aged 15-89 years in Employment","1998Q3","Male","All NACE economic sectors","Thousand","982.8"
"Persons aged 15-89 years in Employment","1998Q3","Male","Agriculture, forestry and fishing (A)","Thousand","119.4"
"Persons aged 15-89 years in Employment","1998Q3","Male","Construction (F)","Thousand","108.4"
"Persons aged 15-89 years in Employment","1998Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","123.1"
"Persons aged 15-89 years in Employment","1998Q3","Male","Transportation and storage (H)","Thousand","55.3"
"Persons aged 15-89 years in Employment","1998Q3","Male","Accommodation and food service activities (I)","Thousand","50.4"
"Persons aged 15-89 years in Employment","1998Q3","Male","Information and communication (J)","Thousand","42.6"
"Persons aged 15-89 years in Employment","1998Q3","Male","Professional, scientific and technical activities (M)","Thousand","45.5"
"Persons aged 15-89 years in Employment","1998Q3","Male","Administrative and support service activities (N)","Thousand","26.1"
"Persons aged 15-89 years in Employment","1998Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","43.8"
"Persons aged 15-89 years in Employment","1998Q3","Male","Education (P)","Thousand","32.8"
"Persons aged 15-89 years in Employment","1998Q3","Male","Human health and social work activities (Q)","Thousand","29.5"
"Persons aged 15-89 years in Employment","1998Q3","Male","Industry (B to E)","Thousand","231"
"Persons aged 15-89 years in Employment","1998Q3","Male","Industry and Construction (B to F)","Thousand","339.4"
"Persons aged 15-89 years in Employment","1998Q3","Male","Services (G to U)","Thousand","518.6"
"Persons aged 15-89 years in Employment","1998Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","30.7"
"Persons aged 15-89 years in Employment","1998Q3","Male","Other NACE activities (R to U)","Thousand","38.7"
"Persons aged 15-89 years in Employment","1998Q3","Male","Not stated","Thousand","5.4"
"Persons aged 15-89 years in Employment","1998Q3","Female","All NACE economic sectors","Thousand","653.5"
"Persons aged 15-89 years in Employment","1998Q3","Female","Agriculture, forestry and fishing (A)","Thousand","18"
"Persons aged 15-89 years in Employment","1998Q3","Female","Construction (F)","Thousand","3.6"
"Persons aged 15-89 years in Employment","1998Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","110.5"
"Persons aged 15-89 years in Employment","1998Q3","Female","Transportation and storage (H)","Thousand","13"
"Persons aged 15-89 years in Employment","1998Q3","Female","Accommodation and food service activities (I)","Thousand","63"
"Persons aged 15-89 years in Employment","1998Q3","Female","Information and communication (J)","Thousand","25.4"
"Persons aged 15-89 years in Employment","1998Q3","Female","Professional, scientific and technical activities (M)","Thousand","29.3"
"Persons aged 15-89 years in Employment","1998Q3","Female","Administrative and support service activities (N)","Thousand","26.6"
"Persons aged 15-89 years in Employment","1998Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","23.9"
"Persons aged 15-89 years in Employment","1998Q3","Female","Education (P)","Thousand","58.9"
"Persons aged 15-89 years in Employment","1998Q3","Female","Human health and social work activities (Q)","Thousand","97.5"
"Persons aged 15-89 years in Employment","1998Q3","Female","Industry (B to E)","Thousand","98.3"
"Persons aged 15-89 years in Employment","1998Q3","Female","Industry and Construction (B to F)","Thousand","101.9"
"Persons aged 15-89 years in Employment","1998Q3","Female","Services (G to U)","Thousand","529.9"
"Persons aged 15-89 years in Employment","1998Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","36.8"
"Persons aged 15-89 years in Employment","1998Q3","Female","Other NACE activities (R to U)","Thousand","45.1"
"Persons aged 15-89 years in Employment","1998Q3","Female","Not stated","Thousand","3.7"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","All NACE economic sectors","Thousand","1615.7"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","137"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Construction (F)","Thousand","115.1"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","227.5"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Transportation and storage (H)","Thousand","70.4"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Accommodation and food service activities (I)","Thousand","104.5"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Information and communication (J)","Thousand","67.7"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","75.2"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Administrative and support service activities (N)","Thousand","53.3"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","66.1"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Education (P)","Thousand","97"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Human health and social work activities (Q)","Thousand","123.3"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Industry (B to E)","Thousand","321.1"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Industry and Construction (B to F)","Thousand","436.2"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Services (G to U)","Thousand","1031.1"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","67"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Other NACE activities (R to U)","Thousand","79.1"
"Persons aged 15-89 years in Employment","1998Q4","Both sexes","Not stated","Thousand","11.5"
"Persons aged 15-89 years in Employment","1998Q4","Male","All NACE economic sectors","Thousand","973.9"
"Persons aged 15-89 years in Employment","1998Q4","Male","Agriculture, forestry and fishing (A)","Thousand","119.9"
"Persons aged 15-89 years in Employment","1998Q4","Male","Construction (F)","Thousand","111.2"
"Persons aged 15-89 years in Employment","1998Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","118.6"
"Persons aged 15-89 years in Employment","1998Q4","Male","Transportation and storage (H)","Thousand","56.3"
"Persons aged 15-89 years in Employment","1998Q4","Male","Accommodation and food service activities (I)","Thousand","46"
"Persons aged 15-89 years in Employment","1998Q4","Male","Information and communication (J)","Thousand","42.3"
"Persons aged 15-89 years in Employment","1998Q4","Male","Professional, scientific and technical activities (M)","Thousand","45.2"
"Persons aged 15-89 years in Employment","1998Q4","Male","Administrative and support service activities (N)","Thousand","27"
"Persons aged 15-89 years in Employment","1998Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","43"
"Persons aged 15-89 years in Employment","1998Q4","Male","Education (P)","Thousand","33.4"
"Persons aged 15-89 years in Employment","1998Q4","Male","Human health and social work activities (Q)","Thousand","28.5"
"Persons aged 15-89 years in Employment","1998Q4","Male","Industry (B to E)","Thousand","229.1"
"Persons aged 15-89 years in Employment","1998Q4","Male","Industry and Construction (B to F)","Thousand","340.3"
"Persons aged 15-89 years in Employment","1998Q4","Male","Services (G to U)","Thousand","506.7"
"Persons aged 15-89 years in Employment","1998Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","30.4"
"Persons aged 15-89 years in Employment","1998Q4","Male","Other NACE activities (R to U)","Thousand","36"
"Persons aged 15-89 years in Employment","1998Q4","Male","Not stated","Thousand","7"
"Persons aged 15-89 years in Employment","1998Q4","Female","All NACE economic sectors","Thousand","641.8"
"Persons aged 15-89 years in Employment","1998Q4","Female","Agriculture, forestry and fishing (A)","Thousand","17.1"
"Persons aged 15-89 years in Employment","1998Q4","Female","Construction (F)","Thousand","3.9"
"Persons aged 15-89 years in Employment","1998Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","108.9"
"Persons aged 15-89 years in Employment","1998Q4","Female","Transportation and storage (H)","Thousand","14.1"
"Persons aged 15-89 years in Employment","1998Q4","Female","Accommodation and food service activities (I)","Thousand","58.5"
"Persons aged 15-89 years in Employment","1998Q4","Female","Information and communication (J)","Thousand","25.4"
"Persons aged 15-89 years in Employment","1998Q4","Female","Professional, scientific and technical activities (M)","Thousand","30.1"
"Persons aged 15-89 years in Employment","1998Q4","Female","Administrative and support service activities (N)","Thousand","26.3"
"Persons aged 15-89 years in Employment","1998Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","23.1"
"Persons aged 15-89 years in Employment","1998Q4","Female","Education (P)","Thousand","63.6"
"Persons aged 15-89 years in Employment","1998Q4","Female","Human health and social work activities (Q)","Thousand","94.8"
"Persons aged 15-89 years in Employment","1998Q4","Female","Industry (B to E)","Thousand","91.9"
"Persons aged 15-89 years in Employment","1998Q4","Female","Industry and Construction (B to F)","Thousand","95.9"
"Persons aged 15-89 years in Employment","1998Q4","Female","Services (G to U)","Thousand","524.4"
"Persons aged 15-89 years in Employment","1998Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","36.5"
"Persons aged 15-89 years in Employment","1998Q4","Female","Other NACE activities (R to U)","Thousand","43.1"
"Persons aged 15-89 years in Employment","1998Q4","Female","Not stated","Thousand","4.5"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","All NACE economic sectors","Thousand","1644.4"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","139.7"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Construction (F)","Thousand","117.5"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","230.3"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Transportation and storage (H)","Thousand","72.3"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Accommodation and food service activities (I)","Thousand","104"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Information and communication (J)","Thousand","71.4"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","76.9"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Administrative and support service activities (N)","Thousand","54.8"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","70"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Education (P)","Thousand","101.1"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Human health and social work activities (Q)","Thousand","125.2"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Industry (B to E)","Thousand","321"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Industry and Construction (B to F)","Thousand","438.5"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Services (G to U)","Thousand","1056.8"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","70.4"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Other NACE activities (R to U)","Thousand","80.4"
"Persons aged 15-89 years in Employment","1999Q1","Both sexes","Not stated","Thousand","9.4"
"Persons aged 15-89 years in Employment","1999Q1","Male","All NACE economic sectors","Thousand","982.9"
"Persons aged 15-89 years in Employment","1999Q1","Male","Agriculture, forestry and fishing (A)","Thousand","120.2"
"Persons aged 15-89 years in Employment","1999Q1","Male","Construction (F)","Thousand","113.5"
"Persons aged 15-89 years in Employment","1999Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","120.6"
"Persons aged 15-89 years in Employment","1999Q1","Male","Transportation and storage (H)","Thousand","57.5"
"Persons aged 15-89 years in Employment","1999Q1","Male","Accommodation and food service activities (I)","Thousand","47"
"Persons aged 15-89 years in Employment","1999Q1","Male","Information and communication (J)","Thousand","44.7"
"Persons aged 15-89 years in Employment","1999Q1","Male","Professional, scientific and technical activities (M)","Thousand","46.6"
"Persons aged 15-89 years in Employment","1999Q1","Male","Administrative and support service activities (N)","Thousand","27.7"
"Persons aged 15-89 years in Employment","1999Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","45"
"Persons aged 15-89 years in Employment","1999Q1","Male","Education (P)","Thousand","33.2"
"Persons aged 15-89 years in Employment","1999Q1","Male","Human health and social work activities (Q)","Thousand","26.8"
"Persons aged 15-89 years in Employment","1999Q1","Male","Industry (B to E)","Thousand","225.7"
"Persons aged 15-89 years in Employment","1999Q1","Male","Industry and Construction (B to F)","Thousand","339.1"
"Persons aged 15-89 years in Employment","1999Q1","Male","Services (G to U)","Thousand","518.1"
"Persons aged 15-89 years in Employment","1999Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","32.9"
"Persons aged 15-89 years in Employment","1999Q1","Male","Other NACE activities (R to U)","Thousand","36.1"
"Persons aged 15-89 years in Employment","1999Q1","Male","Not stated","Thousand","5.5"
"Persons aged 15-89 years in Employment","1999Q1","Female","All NACE economic sectors","Thousand","661.5"
"Persons aged 15-89 years in Employment","1999Q1","Female","Agriculture, forestry and fishing (A)","Thousand","19.5"
"Persons aged 15-89 years in Employment","1999Q1","Female","Construction (F)","Thousand","4.1"
"Persons aged 15-89 years in Employment","1999Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","109.7"
"Persons aged 15-89 years in Employment","1999Q1","Female","Transportation and storage (H)","Thousand","14.8"
"Persons aged 15-89 years in Employment","1999Q1","Female","Accommodation and food service activities (I)","Thousand","57"
"Persons aged 15-89 years in Employment","1999Q1","Female","Information and communication (J)","Thousand","26.7"
"Persons aged 15-89 years in Employment","1999Q1","Female","Professional, scientific and technical activities (M)","Thousand","30.3"
"Persons aged 15-89 years in Employment","1999Q1","Female","Administrative and support service activities (N)","Thousand","27.1"
"Persons aged 15-89 years in Employment","1999Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","25.1"
"Persons aged 15-89 years in Employment","1999Q1","Female","Education (P)","Thousand","67.9"
"Persons aged 15-89 years in Employment","1999Q1","Female","Human health and social work activities (Q)","Thousand","98.4"
"Persons aged 15-89 years in Employment","1999Q1","Female","Industry (B to E)","Thousand","95.3"
"Persons aged 15-89 years in Employment","1999Q1","Female","Industry and Construction (B to F)","Thousand","99.4"
"Persons aged 15-89 years in Employment","1999Q1","Female","Services (G to U)","Thousand","538.7"
"Persons aged 15-89 years in Employment","1999Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","37.5"
"Persons aged 15-89 years in Employment","1999Q1","Female","Other NACE activities (R to U)","Thousand","44.3"
"Persons aged 15-89 years in Employment","1999Q1","Female","Not stated","Thousand","3.9"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","All NACE economic sectors","Thousand","1679.2"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","138.3"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Construction (F)","Thousand","120.5"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","234.1"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Transportation and storage (H)","Thousand","73.8"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Accommodation and food service activities (I)","Thousand","110.5"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Information and communication (J)","Thousand","73.9"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","82.2"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Administrative and support service activities (N)","Thousand","55.5"
