"C01903V02345","Type of Worker","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"02","All manual employee grades","1975","1975","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1976","1976","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1976","1976","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1976","1976","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1977","1977","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1977","1977","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1977","1977","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1978","1978","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1978","1978","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1978","1978","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1979","1979","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1979","1979","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1979","1979","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1980","1980","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1980","1980","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1980","1980","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1981","1981","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1981","1981","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1981","1981","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1982","1982","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1982","1982","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1982","1982","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1983","1983","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1983","1983","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1983","1983","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1984","1984","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1984","1984","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1984","1984","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1985","1985","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1985","1985","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"02","All manual employee grades","1985","1985","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"02","All manual employee grades","1986","1986","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.21"
"02","All manual employee grades","1986","1986","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","232.17"
"02","All manual employee grades","1986","1986","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.5"
"02","All manual employee grades","1987","1987","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.22"
"02","All manual employee grades","1987","1987","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","235.48"
"02","All manual employee grades","1987","1987","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.2"
"02","All manual employee grades","1988","1988","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.42"
"02","All manual employee grades","1988","1988","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","245.15"
"02","All manual employee grades","1988","1988","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.2"
"02","All manual employee grades","1989","1989","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.54"
"02","All manual employee grades","1989","1989","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","253.67"
"02","All manual employee grades","1989","1989","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.8"
"02","All manual employee grades","1990","1990","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.77"
"02","All manual employee grades","1990","1990","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","267.62"
"02","All manual employee grades","1990","1990","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"02","All manual employee grades","1991","1991","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","6.11"
"02","All manual employee grades","1991","1991","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","282.43"
"02","All manual employee grades","1991","1991","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.2"
"02","All manual employee grades","1992","1992","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","6.73"
"02","All manual employee grades","1992","1992","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","315.39"
"02","All manual employee grades","1992","1992","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.8"
"02","All manual employee grades","1993","1993","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","7.17"
"02","All manual employee grades","1993","1993","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","329.11"
"02","All manual employee grades","1993","1993","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.9"
"02","All manual employee grades","1994","1994","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","7.6"
"02","All manual employee grades","1994","1994","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","352.29"
"02","All manual employee grades","1994","1994","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"02","All manual employee grades","1995","1995","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","7.98"
"02","All manual employee grades","1995","1995","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","370.49"
"02","All manual employee grades","1995","1995","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"02","All manual employee grades","1996","1996","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","8.29"
"02","All manual employee grades","1996","1996","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","388.04"
"02","All manual employee grades","1996","1996","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.8"
"02","All manual employee grades","1997","1997","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","9.02"
"02","All manual employee grades","1997","1997","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","428.78"
"02","All manual employee grades","1997","1997","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","47.5"
"02","All manual employee grades","1998","1998","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","9.82"
"02","All manual employee grades","1998","1998","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","453"
"02","All manual employee grades","1998","1998","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.2"
"02","All manual employee grades","1999","1999","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","10.62"
"02","All manual employee grades","1999","1999","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","492.24"
"02","All manual employee grades","1999","1999","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.3"
"02","All manual employee grades","2000","2000","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","11.95"
"02","All manual employee grades","2000","2000","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","554.15"
"02","All manual employee grades","2000","2000","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"02","All manual employee grades","2001","2001","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","13.34"
"02","All manual employee grades","2001","2001","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","604.44"
"02","All manual employee grades","2001","2001","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.3"
"02","All manual employee grades","2002","2002","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","14.79"
"02","All manual employee grades","2002","2002","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","665.69"
"02","All manual employee grades","2002","2002","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45"
"02","All manual employee grades","2003","2003","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","15.56"
"02","All manual employee grades","2003","2003","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","693.71"
"02","All manual employee grades","2003","2003","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.6"
"02","All manual employee grades","2004","2004","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","16.24"
"02","All manual employee grades","2004","2004","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","725.93"
"02","All manual employee grades","2004","2004","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.7"
"02","All manual employee grades","2005","2005","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","17.39"
"02","All manual employee grades","2005","2005","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","776.77"
"02","All manual employee grades","2005","2005","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.7"
"02","All manual employee grades","2006","2006","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","17.75"
"02","All manual employee grades","2006","2006","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","791.25"
"02","All manual employee grades","2006","2006","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.6"
"02","All manual employee grades","2007","2007","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","18.78"
"02","All manual employee grades","2007","2007","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","839.75"
"02","All manual employee grades","2007","2007","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.7"
"02","All manual employee grades","2008","2008","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","19.35"
"02","All manual employee grades","2008","2008","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","852.05"
"02","All manual employee grades","2008","2008","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44"
"021","Skilled operatives","1969","1969","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","0.61"
"021","Skilled operatives","1969","1969","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","28.27"
"021","Skilled operatives","1969","1969","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.7"
"021","Skilled operatives","1970","1970","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","0.68"
"021","Skilled operatives","1970","1970","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","31.26"
"021","Skilled operatives","1970","1970","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.1"
"021","Skilled operatives","1971","1971","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","0.79"
"021","Skilled operatives","1971","1971","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","37.25"
"021","Skilled operatives","1971","1971","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","47.3"
"021","Skilled operatives","1972","1972","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","0.92"
"021","Skilled operatives","1972","1972","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","42.84"
"021","Skilled operatives","1972","1972","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.9"
"021","Skilled operatives","1973","1973","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","1.02"
"021","Skilled operatives","1973","1973","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","48.14"
"021","Skilled operatives","1973","1973","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","47.6"
"021","Skilled operatives","1974","1974","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","1.22"
"021","Skilled operatives","1974","1974","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","55.88"
"021","Skilled operatives","1974","1974","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46"
"021","Skilled operatives","1975","1975","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","1.51"
"021","Skilled operatives","1975","1975","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","67.08"
"021","Skilled operatives","1975","1975","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.6"
"021","Skilled operatives","1976","1976","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","1.69"
"021","Skilled operatives","1976","1976","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","74.99"
"021","Skilled operatives","1976","1976","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.3"
"021","Skilled operatives","1977","1977","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","2.04"
"021","Skilled operatives","1977","1977","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","91.7"
"021","Skilled operatives","1977","1977","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45"
"021","Skilled operatives","1978","1978","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","2.3"
"021","Skilled operatives","1978","1978","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","107.16"
"021","Skilled operatives","1978","1978","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.5"
"021","Skilled operatives","1979","1979","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","2.81"
"021","Skilled operatives","1979","1979","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","128.48"
"021","Skilled operatives","1979","1979","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.8"
"021","Skilled operatives","1980","1980","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","3.39"
"021","Skilled operatives","1980","1980","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","154.54"
"021","Skilled operatives","1980","1980","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.7"
"021","Skilled operatives","1981","1981","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","4.08"
"021","Skilled operatives","1981","1981","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","180.3"
"021","Skilled operatives","1981","1981","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.2"
"021","Skilled operatives","1982","1982","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","4.81"
"021","Skilled operatives","1982","1982","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","212.59"
"021","Skilled operatives","1982","1982","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.2"
"021","Skilled operatives","1983","1983","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.15"
"021","Skilled operatives","1983","1983","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","222.84"
"021","Skilled operatives","1983","1983","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.3"
"021","Skilled operatives","1984","1984","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.58"
"021","Skilled operatives","1984","1984","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","241.65"
"021","Skilled operatives","1984","1984","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.4"
"021","Skilled operatives","1985","1985","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.7"
"021","Skilled operatives","1985","1985","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","248.69"
"021","Skilled operatives","1985","1985","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.6"
"021","Skilled operatives","1986","1986","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.82"
"021","Skilled operatives","1986","1986","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","256.99"
"021","Skilled operatives","1986","1986","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.2"
"021","Skilled operatives","1987","1987","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.77"
"021","Skilled operatives","1987","1987","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","260.99"
"021","Skilled operatives","1987","1987","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.3"
"021","Skilled operatives","1988","1988","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","5.99"
"021","Skilled operatives","1988","1988","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","269.18"
"021","Skilled operatives","1988","1988","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.9"
"021","Skilled operatives","1989","1989","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","6.2"
"021","Skilled operatives","1989","1989","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","281.22"
"021","Skilled operatives","1989","1989","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.4"
"021","Skilled operatives","1990","1990","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","6.48"
"021","Skilled operatives","1990","1990","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","299.09"
"021","Skilled operatives","1990","1990","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.2"
"021","Skilled operatives","1991","1991","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","6.86"
"021","Skilled operatives","1991","1991","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","316.19"
"021","Skilled operatives","1991","1991","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.1"
"021","Skilled operatives","1992","1992","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","7.61"
"021","Skilled operatives","1992","1992","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","358.52"
"021","Skilled operatives","1992","1992","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","47.1"
"021","Skilled operatives","1993","1993","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","8.14"
"021","Skilled operatives","1993","1993","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","373.48"
"021","Skilled operatives","1993","1993","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.9"
"021","Skilled operatives","1994","1994","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","8.51"
"021","Skilled operatives","1994","1994","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","394.15"
"021","Skilled operatives","1994","1994","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.3"
"021","Skilled operatives","1995","1995","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","8.98"
"021","Skilled operatives","1995","1995","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","417.01"
"021","Skilled operatives","1995","1995","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"021","Skilled operatives","1996","1996","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","9.42"
"021","Skilled operatives","1996","1996","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","438.96"
"021","Skilled operatives","1996","1996","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.6"
"021","Skilled operatives","1997","1997","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","10.58"
"021","Skilled operatives","1997","1997","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","496.23"
"021","Skilled operatives","1997","1997","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.8"
"021","Skilled operatives","1998","1998","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","11.73"
"021","Skilled operatives","1998","1998","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","539.68"
"021","Skilled operatives","1998","1998","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46"
"021","Skilled operatives","1999","1999","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","12.74"
"021","Skilled operatives","1999","1999","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","585.78"
"021","Skilled operatives","1999","1999","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","45.9"
"021","Skilled operatives","2000","2000","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","13.97"
"021","Skilled operatives","2000","2000","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","647.9"
"021","Skilled operatives","2000","2000","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","46.4"
"021","Skilled operatives","2001","2001","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","15.23"
"021","Skilled operatives","2001","2001","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","681.08"
"021","Skilled operatives","2001","2001","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.7"
"021","Skilled operatives","2002","2002","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","17.05"
"021","Skilled operatives","2002","2002","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","759.16"
"021","Skilled operatives","2002","2002","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.6"
"021","Skilled operatives","2003","2003","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","17.87"
"021","Skilled operatives","2003","2003","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","786.95"
"021","Skilled operatives","2003","2003","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44"
"021","Skilled operatives","2004","2004","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","18.62"
"021","Skilled operatives","2004","2004","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","820.62"
"021","Skilled operatives","2004","2004","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44.1"
"021","Skilled operatives","2005","2005","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","19.94"
"021","Skilled operatives","2005","2005","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","876.96"
"021","Skilled operatives","2005","2005","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","44"
"021","Skilled operatives","2006","2006","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","20.03"
"021","Skilled operatives","2006","2006","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","877.03"
"021","Skilled operatives","2006","2006","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.8"
"021","Skilled operatives","2007","2007","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","20.85"
"021","Skilled operatives","2007","2007","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","914.22"
"021","Skilled operatives","2007","2007","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.8"
"021","Skilled operatives","2008","2008","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro","21.26"
"021","Skilled operatives","2008","2008","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro","916.37"
"021","Skilled operatives","2008","2008","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number","43.1"
"022","Apprentices","1969","1969","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1969","1969","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1969","1969","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1970","1970","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1970","1970","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1970","1970","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1971","1971","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1971","1971","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1971","1971","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1972","1972","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1972","1972","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1972","1972","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1973","1973","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1973","1973","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1973","1973","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1974","1974","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
"022","Apprentices","1974","1974","BDA01C2","Average Earnings per Week in the Building and Construction Industry","Euro",""
"022","Apprentices","1974","1974","BDA01C3","Average Hours Worked per Week in the Building and Construction Industry","Number",""
"022","Apprentices","1975","1975","BDA01C1","Average Earnings per Hour in the Building and Construction Industry","Euro",""
